class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan
1.0,0.31342157149190086,-0.8980318061766402,-0.910859836836641,-0.5630472427497072,-0.7357801332807051
1.0,0.3611821536572888,-0.9011501181541084,-0.9161215000000427,-0.6454495311297187,-0.7865015864605434
1.0,0.46978443566922445,-0.9052088734098696,-0.9141476589744832,-0.4819320776794116,-0.7125175726396189
1.0,0.3961745535890877,-0.9293668904179339,-0.9458687111656763,-0.7458704676328451,-0.8086051596963588
1.0,0.477854909872123,-0.9078487142538548,-0.9195448803020638,-0.4089985026826253,-0.775038411652798
1.0,0.291435565831202,-0.8741824942008187,-0.8856595830276961,-0.3084611140228266,-0.6284826775149563
1.0,0.4779065714578006,-0.9222853437791705,-0.9422748922415571,-0.7052084153348501,-0.8331685570980554
1.0,0.32222628228473993,-0.8743557337551227,-0.8761203799418251,-0.3261051136737133,-0.7085327355467503
1.0,0.4308846158567774,-0.8665203238774888,-0.878226656860639,-0.3681061611843589,-0.8473109301964268
1.0,0.46766885974424555,-0.8925896343332174,-0.9140803690101756,-0.32706212697784065,-0.6429881164222804
1.0,0.43129504736572866,-0.8966668884550661,-0.9169065503608325,-0.47506393215114495,-0.707318722735107
1.0,0.48510510049445843,-0.9027670206609437,-0.9212164768493409,-0.5259569772809614,-0.788463511058641
1.0,0.3381827306393861,-0.8690881245542262,-0.8813265357499385,-0.4874255040016383,-0.686638112460481
1.0,0.2402379381415174,-0.8892460858731654,-0.8974008523976034,-0.47796075942150285,-0.6263745601533273
1.0,0.4610790574595054,-0.9140603667664756,-0.9158881066215303,-0.5591657845690383,-0.7765086675295633
1.0,0.4307137069394713,-0.8885998748482697,-0.9030242430309514,-0.40246368803143173,-0.7516450843820262
1.0,0.3949675419607843,-0.9028149611273132,-0.9145980578246888,-0.6218880411741619,-0.6942131383852665
1.0,0.32704529350383615,-0.904678798948374,-0.9086985981568438,-0.6669021604118924,-0.8080728747604777
1.0,0.15933414138107427,-0.87926418779373,-0.884169949953201,-0.6099282955123946,-0.7584377732822031
1.0,0.612506754509804,-0.881156990344326,-0.905255094466386,-0.48019856575404285,-0.7017791739956409
1.0,0.4821367444842284,-0.9133544096925429,-0.9164290676497331,-0.6744516392000997,-0.836357804078346
1.0,0.472698100869565,-0.8735779234971677,-0.8822666032869926,-0.5373954544594364,-0.7750139451113927
1.0,0.4025592721568625,-0.9171066360358493,-0.9446464621114872,-0.7218541643070833,-0.7836219479772728
1.0,0.5662129715942028,-0.938611859309439,-0.9638918148945206,-0.5849972420485378,-0.8615754375460618
1.0,0.5398124467178176,-0.9452395847244224,-0.9774339337476794,-0.793491450588746,-0.9136983062216597
1.0,0.5279907835635123,-0.9160527023706015,-0.9499192718623987,-0.3714590028839404,-0.6953826769154359
1.0,0.4468226302472291,-0.8785225412927359,-0.8931610856839038,-0.34775639967959326,-0.7465612255992035
1.0,0.32864539826086947,-0.9344121125804357,-0.9454823837396977,-0.8262180547217249,-0.8203873657523039
1.0,0.4805351382097187,-0.9046726557582854,-0.9292367477211412,-0.5143960286187306,-0.7931731446336712
1.0,0.3035420011594203,-0.9266256465726697,-0.944862573816289,-0.8129850719940398,-0.8429061774497749
1.0,0.3595710854219949,-0.9281562397476345,-0.9501239940529196,-0.8390512962027692,-0.7399168646829963
1.0,0.38069739266837166,-0.9288941119362053,-0.9552693450078383,-0.6382423238473784,-0.8584036223423713
1.0,0.47341295959079277,-0.914919716493906,-0.9300881868829953,-0.7562231952688856,-0.8168797488300418
1.0,0.5557051198635974,-0.9235365182995335,-0.9492424479040434,-0.7964515535347936,-0.8556159543678818
1.0,0.35977912852514904,-0.9265284574503098,-0.944487417731636,-0.7933475621827574,-0.8747198168283723
1.0,0.42785637265132137,-0.9328722054695663,-0.9574822057301257,-0.6614083470185127,-0.7294499935203811
1.0,0.4606422282693947,-0.9431810283006639,-0.9635210966599564,-0.7777777776895263,-0.81885862484723
1.0,0.30634811362318826,-0.8676186400151396,-0.8666633267521464,-0.3321365891521538,-0.6755959138244685
1.0,0.3452390192668373,-0.883294894757198,-0.8975377876304095,-0.3199514615157092,-0.6179765832895799
1.0,0.2837024136402386,-0.886408468517363,-0.8955622385786136,-0.44722304707054017,-0.7163829516309884
1.0,0.5114772929582267,-0.9020223491663455,-0.9119712784983172,-0.5242024844841042,-0.7433372920529833
1.0,0.29394931014492753,-0.9060382828380877,-0.9138750888937783,-0.5464289440587821,-0.5729179495248751
1.0,0.4629323686956519,-0.9234822715669082,-0.9416945157165032,-0.8011934011254702,-0.7699327758961422
1.0,0.28382641432225064,-0.8622450056661626,-0.8641462590312448,-0.3976282403083571,-0.7634399569760685
1.0,0.47624764235294115,-0.8643642431705791,-0.8714274870540608,-0.33745173730556033,-0.7180102343202397
1.0,0.3454996438533675,-0.8954281473375155,-0.9092130566696517,-0.5372253025344127,-0.7663454182216141
1.0,0.39780902738277923,-0.9053078674573993,-0.9121491450915444,-0.5805846662505427,-0.7264570076607382
